Product ID,SKU,Name,Category,Price,Original Price,Discount,Description,Weight (kg),Dimensions (cm),Brand,Color,Warranty (months),Stock (units),Trending
P753178,SKU-76892,Analysis Books,Electronics,R$ 78.98,R$ 157.97,50%,Consider audience food expert eat page director mean deal.,9.4,52x29x45,Rodriguez Ltd,Red,15,132,0
P723081,SKU-48858,Job Sports,Sports,R$ 536.59,R$ 616.77,13%,Believe candidate maintain gas machine plan two accept reveal along face what project across administration law sing deal.,1.3,80x98x40,Moore-Pierce,White,22,311,0
P656095,SKU-88735,World Electronics,Sports,R$ 876.84,R$ 1348.98,35%,Nation pattern fine nation smile cut teach suggest after research.,1.2,94x60x84,Johnson-Roach,Gray,16,212,0
P362406,SKU-70966,Either Books,Books,R$ 1158.05,R$ 1996.63,42%,Kid house young wish fight challenge certain onto trade.,0.8,18x42x14,Rocha-Roman,Red,7,287,1
P50652,SKU-61594,Personal Electronics,Fashion,R$ 467.38,R$ 599.2,22%,Plant physical deep federal energy fill make computer sea turn wonder study player blue all.,0.7,70x51x98,Velasquez LLC,Green,19,117,0
P331675,SKU-39586,Pm Sports,Fashion,R$ 196.33,R$ 356.97,45%,Factor morning film themselves base exist say its site where.,6.3,100x70x83,Wilson Inc,Gray,14,244,0
P977764,SKU-47345,Ask Fashion,Home & Kitchen,R$ 1183.78,R$ 1691.12,30%,Factor worry before again everything security part catch step cost gun along near end kitchen.,8.5,57x21x71,Green-Barnes,Green,17,243,0
P610059,SKU-52525,Foreign Sports,Fashion,R$ 1447.78,R$ 1956.46,26%,Do administration night it leave cut perhaps campaign course then suggest type trouble.,0.9,69x10x11,Morris and Sons,Black,21,30,1
P133500,SKU-39083,Spend Books,Books,R$ 1141.62,R$ 1297.3,12%,Dream but need want face coach way whom mention rather money.,5.2,51x55x63,"Sherman, Olson and Lopez",Green,22,194,1
P812585,SKU-4398,Weight Fashion,Electronics,R$ 1214.99,R$ 1928.56,37%,Not computer within with identify stage manage few model on memory indeed over religious its herself heavy human old firm.,2.1,71x82x55,Pugh and Sons,Red,17,271,0
P122408,SKU-41810,Simply Home,Fashion,R$ 380.52,R$ 528.5,28%,Prevent nation but possible food debate message money whether seem character return traditional beyond network.,1.4,64x87x63,Flynn and Sons,Yellow,13,389,0
P777846,SKU-29081,Include Fashion,Books,R$ 1153.51,R$ 1478.86,22%,Memory mention protect what radio case risk even before part meeting various similar industry reduce current him product strong.,3.0,74x33x80,Bryan LLC,White,13,235,0
P31345,SKU-95840,Staff Fashion,Electronics,R$ 1815.33,R$ 1951.97,7%,Necessary window service if free easy course prepare run good order example floor.,6.4,57x16x86,"Weber, Jackson and Ferrell",Blue,16,328,1
P445525,SKU-62317,High Fashion,Fashion,R$ 160.45,R$ 232.54,31%,Week sea herself hear would right bank go rather find morning.,5.4,93x41x48,Wilkins LLC,White,21,453,0
P162432,SKU-71252,Imagine Books,Fashion,R$ 197.91,R$ 232.83,15%,Back down seek herself you at particular approach consider law together phone education price stock.,3.7,24x22x76,Small-Bond,White,19,115,0
P529434,SKU-54756,Share Electronics,Home & Kitchen,R$ 217.58,R$ 315.34,31%,Beautiful able like organization describe either teach recently task here little rest information around tax fast early list daughter.,8.2,23x47x39,Hernandez Inc,Blue,20,487,1
P258483,SKU-19723,Field Electronics,Books,R$ 617.96,R$ 792.26,22%,Unit team thousand about career religious boy others really threat race law consumer action no scene dream Mr.,7.4,55x36x25,Stark-Parker,White,22,132,0
P771398,SKU-88769,Ask Home,Sports,R$ 1091.18,R$ 1347.14,19%,Boy avoid tell bed board indicate law question scientist space letter key month gas nature who hospital.,6.9,58x90x19,Kent-Robinson,Red,20,282,1
P920793,SKU-52432,Training Books,Sports,R$ 572.31,R$ 1021.99,44%,Will law out next large you theory again two economy market property effect after health forward.,4.5,32x89x45,Johnson-Hendrix,Yellow,20,450,0
P139878,SKU-8297,Weight Sports,Fashion,R$ 983.92,R$ 1586.97,38%,Spring student despite peace than themselves affect else fly close ability room.,3.3,90x22x46,Elliott-West,Red,21,182,0
P31482,SKU-43189,Lot Fashion,Books,R$ 644.05,R$ 1215.18,47%,Health dark phone else myself care go respond meeting law common.,2.9,41x61x65,Davis LLC,Gray,10,369,0
P783023,SKU-34201,Affect Home,Fashion,R$ 937.73,R$ 1019.27,8%,Though fast I institution most article person pressure try soldier movie image artist believe condition quite but agreement.,7.0,46x19x27,Ramos Inc,Blue,17,206,0
P409178,SKU-87886,Tonight Fashion,Books,R$ 435.59,R$ 837.68,48%,List describe bring necessary sea stay play leave remain smile easy fine entire never hot air resource stuff relationship.,9.8,68x29x43,Stewart-Payne,Blue,7,16,1
P119139,SKU-96907,Require Sports,Sports,R$ 656.98,R$ 772.92,15%,Trade loss per least would sea leg government single control or indicate father general reach politics open fund magazine.,10.0,94x43x63,Grant Ltd,Gray,24,212,1
P347120,SKU-92808,Stock Sports,Sports,R$ 442.86,R$ 681.32,35%,From guess again one site kid throughout direction sign these wall whether common.,3.1,31x81x100,Anderson-Moore,Yellow,14,322,0
P314134,SKU-33768,Down Fashion,Books,R$ 567.33,R$ 616.66,8%,Concern moment alone cause model realize else camera against son claim adult network issue realize including property wear always data.,3.9,92x18x70,"Gray, Patterson and Schwartz",White,21,180,1
P409281,SKU-93486,Would Sports,Sports,R$ 502.03,R$ 660.57,24%,Television successful across action lead increase six team physical successful.,0.6,58x92x42,"Bates, Jackson and House",Black,20,19,1
P288795,SKU-86658,Spend Fashion,Home & Kitchen,R$ 298.78,R$ 331.98,10%,Nothing another buy head wait finally night recently today new now with never want it race.,5.4,85x57x34,Hart-Johnson,Green,16,100,0
P708917,SKU-85279,Ok Electronics,Books,R$ 1034.41,R$ 1379.21,25%,Front decide thank protect because artist coach tonight television manager later although pass leave catch program during federal.,5.0,92x100x66,"Carey, Williams and Davenport",Red,10,475,1
P950668,SKU-71852,Century Sports,Sports,R$ 350.85,R$ 649.72,46%,Big car mention accept education discover this be way something brother produce short step national.,9.9,69x60x63,"Myers, Marshall and West",Red,10,181,0
P199463,SKU-7003,Group Fashion,Books,R$ 408.2,R$ 503.95,19%,Necessary imagine finally want far ahead bar lawyer certainly suggest require.,1.6,93x97x74,Tucker Ltd,Blue,20,344,1
P862318,SKU-4232,Magazine Fashion,Books,R$ 98.3,R$ 161.14,39%,Light region wait first economic hear time where smile ever eye he into country world little central anyone house yourself.,4.6,60x63x25,"Carroll, Wilson and Mcdonald",White,23,167,0
P945093,SKU-58645,Too Sports,Electronics,R$ 967.05,R$ 1758.27,45%,Minute rest trade security white answer figure who political team hand mouth someone front source.,1.2,28x84x82,Moore-Gonzalez,Red,19,223,0
P365173,SKU-43441,Fly Books,Home & Kitchen,R$ 1361.03,R$ 1479.38,8%,Day protect three exactly class factor party senior set discussion education answer everything mention.,1.7,96x49x72,"Kidd, Benton and Jefferson",Red,9,120,0
P914334,SKU-57076,Camera Home,Electronics,R$ 275.09,R$ 474.29,42%,Challenge stay message certain question west action both sense police letter back bank challenge father yet seek allow together.,7.0,41x33x90,Lee-Sims,Black,19,430,1
P472223,SKU-92720,Start Sports,Sports,R$ 198.96,R$ 326.17,39%,Activity here yourself beautiful seven hot paper feeling seek argue green staff remain no this voice authority.,6.5,37x29x24,"Hancock, Flores and Avery",Yellow,11,358,0
P49840,SKU-40703,That Home,Books,R$ 1239.57,R$ 1304.81,5%,Buy city activity themselves commercial majority a hand environment.,1.3,87x57x71,Patton and Sons,White,14,275,1
P653960,SKU-6248,Government Sports,Electronics,R$ 208.07,R$ 346.79,40%,Might true environmental son law crime still else ask paper already key.,2.1,61x76x71,Knapp PLC,Blue,6,393,0
P693121,SKU-72479,Defense Home,Electronics,R$ 205.58,R$ 302.33,32%,Speak if measure church glass mother identify concern state center light agreement way newspaper drive.,6.5,48x41x85,Thomas and Sons,Gray,24,248,0
P735933,SKU-59883,Two Home,Sports,R$ 560.38,R$ 849.06,34%,Owner happen already really think people person fine here challenge feel impact cultural best.,4.1,75x83x80,Schultz-Vasquez,Blue,14,487,1
P810257,SKU-69825,Rule Home,Sports,R$ 805.52,R$ 1491.71,46%,Structure court art win central central prepare keep another.,9.2,32x50x95,Williams LLC,Green,11,8,1
P739731,SKU-6797,Any Home,Electronics,R$ 1433.91,R$ 1911.88,25%,Newspaper state training writer morning arm together while government happen everyone admit good Republican decide.,1.8,91x32x47,Shaffer-Vasquez,Yellow,19,307,0
P378622,SKU-85931,Place Home,Fashion,R$ 1450.93,R$ 1706.98,15%,Issue human cost enter author too green center hour age population hot concern.,6.7,55x67x29,"Case, Walker and Larson",Red,23,66,1
P877025,SKU-35724,School Books,Fashion,R$ 491.55,R$ 540.16,9%,Wall many measure face teacher but represent its kitchen even listen important compare.,0.6,95x23x87,Shaw-Moore,White,24,127,0
P345866,SKU-65373,Finish Books,Sports,R$ 325.16,R$ 357.32,9%,Local or heart lot entire pressure through only within.,1.1,53x30x21,Perez-Love,Blue,10,26,1
P568972,SKU-46573,Project Books,Home & Kitchen,R$ 686.12,R$ 745.78,8%,Determine nature sport picture political beyond culture themselves main political particular lawyer board per next.,6.8,97x57x26,Vargas-Sanchez,Green,13,232,1
P663155,SKU-22969,Thought Sports,Fashion,R$ 581.67,R$ 1140.52,49%,Ago pass Mrs I response range remember provide color nearly military land street others.,8.2,41x65x79,Johnson LLC,Red,21,492,0
P807645,SKU-23923,Site Fashion,Sports,R$ 96.34,R$ 178.4,46%,Dog large traditional section tonight behind respond same still responsibility popular good.,1.1,94x29x36,"Zimmerman, Johnson and Nelson",White,20,2,1
P587401,SKU-52746,Successful Home,Home & Kitchen,R$ 1055.3,R$ 1819.48,42%,Bad discover Mr game care activity memory take film religious similar game boy old reach make structure wind any word.,7.0,34x28x69,Baker LLC,Red,21,281,1
P986513,SKU-49721,Piece Fashion,Books,R$ 1479.56,R$ 1999.41,26%,Mention stuff woman might oil box visit market environment.,2.8,86x29x79,Williamson-Garcia,Gray,6,81,1
P880437,SKU-49563,Matter Electronics,Books,R$ 699.39,R$ 1092.8,36%,Tax least vote write role future term level Mrs general.,6.6,71x31x76,"Martinez, Hansen and Smith",Red,16,108,0
P132338,SKU-52703,Kitchen Electronics,Fashion,R$ 274.55,R$ 289.0,5%,Season mission general travel ready feel task very government quite physical.,2.1,55x33x91,Munoz-Mckay,Green,20,259,1
P316805,SKU-48849,Suddenly Sports,Fashion,R$ 360.06,R$ 529.5,32%,Maintain next national painting skin expect fire late candidate despite certain develop support young increase while benefit.,4.7,50x97x14,"Anderson, Keller and Pacheco",Blue,8,448,1
P257687,SKU-42551,Blood Electronics,Electronics,R$ 1375.49,R$ 1993.47,31%,Man create possible score rise TV trip cultural million serious ask ready least participant chair truth entire consumer.,1.5,23x51x84,Perez-Johnson,Yellow,20,143,1
P216830,SKU-90118,Medical Electronics,Books,R$ 340.77,R$ 378.63,10%,Baby movie article third within fire board clearly between later instead local view time daughter method.,2.3,79x94x17,"Johnson, Bennett and Gordon",Yellow,9,427,0
P799838,SKU-72864,If Home,Books,R$ 1547.86,R$ 1934.82,20%,Rich cut myself response response size rest plan idea Democrat work window realize song his product same.,1.9,12x74x67,Patrick-Moyer,White,9,419,1
P775646,SKU-24415,Civil Fashion,Electronics,R$ 924.35,R$ 1185.07,22%,Citizen yeah concern east nor many wall choose different share feeling through place amount clear sport table.,7.4,29x74x40,Thomas PLC,Black,16,348,0
P888652,SKU-59714,Sister Electronics,Electronics,R$ 648.13,R$ 1222.88,47%,Speech want for them cover hundred night order now member already traditional from all late.,8.7,47x72x66,Gutierrez PLC,Gray,17,186,0
P427680,SKU-36088,Federal Sports,Fashion,R$ 134.19,R$ 227.44,41%,Relationship shake Democrat people address either church box language condition message station rest your area might education impact.,5.4,42x40x26,Carlson Ltd,White,9,153,0
P409396,SKU-45083,Note Books,Fashion,R$ 676.92,R$ 1057.68,36%,Six six too daughter make research eight wonder two light performance ground shoulder that laugh environmental far write blue.,8.4,23x83x74,Martinez-Edwards,Black,10,124,1
P825136,SKU-14751,Enter Fashion,Books,R$ 152.85,R$ 164.36,7%,Pm use do art manager social follow less wrong personal while majority sit suggest work maybe response everyone.,3.7,32x56x89,"Morris, Evans and Mueller",White,13,307,1
P279168,SKU-22209,Green Fashion,Electronics,R$ 1754.99,R$ 1994.31,12%,Campaign offer better late hold accept western believe west land thousand people.,2.6,93x24x21,Crawford-Brock,Gray,22,491,0
P306524,SKU-46716,Long Books,Books,R$ 993.33,R$ 1419.04,30%,Price serve focus open skill church wear report black wish.,6.3,67x62x43,"Jones, Ortiz and Knight",Yellow,13,229,0
P741037,SKU-50138,Window Sports,Electronics,R$ 445.07,R$ 890.14,50%,Any history never deal employee mouth name they institution gun speak health start situation.,6.1,38x70x76,Sims-Reyes,Gray,15,296,0
P912514,SKU-10780,Myself Home,Books,R$ 262.94,R$ 505.65,48%,Money hot school leave all family politics smile factor family between worry song.,6.6,62x74x41,"Gonzalez, Page and Mills",Blue,9,374,0
P671129,SKU-59499,Agency Books,Books,R$ 533.17,R$ 784.08,32%,Account every whole design drop civil line forget beautiful series school finish price well history effect find.,5.3,79x85x36,"Evans, Thomas and Gill",Red,11,161,1
P39998,SKU-45634,System Electronics,Home & Kitchen,R$ 575.03,R$ 1084.96,47%,Figure security impact address federal follow professor quickly body lead pattern more.,8.9,47x80x79,Miller and Sons,Green,22,60,1
P725738,SKU-75880,I Electronics,Electronics,R$ 1668.54,R$ 1756.36,5%,Quite parent imagine catch near treatment challenge important identify modern necessary water center claim office daughter soldier brother chance include.,3.8,37x35x54,Adams PLC,Green,8,321,1
P823113,SKU-97532,Nice Home,Electronics,R$ 146.18,R$ 189.84,23%,On member century drop attack itself quite either building American blue central senior everybody consider.,5.5,94x24x35,"Moreno, Rose and Vargas",Red,8,155,1
P839680,SKU-17704,Federal Books,Home & Kitchen,R$ 749.68,R$ 973.61,23%,Your matter I space treatment truth lot effort increase law figure until week read clear.,8.2,92x37x60,"Sampson, Compton and White",Black,20,426,0
P404339,SKU-62292,Meet Books,Sports,R$ 1705.09,R$ 1794.83,5%,Begin very head should about drug morning free free picture so can finally population upon clearly.,5.4,57x34x46,"Sullivan, Green and Gillespie",Blue,10,488,0
P894535,SKU-88927,Bed Home,Electronics,R$ 616.78,R$ 1121.41,45%,Subject effect participant road too surface catch pretty one according time account turn along trouble.,4.8,40x34x77,"Jones, Foster and Ortiz",Gray,15,494,1
P476854,SKU-11929,Data Electronics,Sports,R$ 230.19,R$ 244.88,6%,Writer pressure game property once pretty he chance difference appear window attention range.,1.5,88x85x97,Porter-Townsend,Yellow,21,175,1
P448875,SKU-44811,Pattern Electronics,Sports,R$ 1047.3,R$ 1939.44,46%,Trip base project father as court I buy serve concern chance protect possible word.,2.6,93x64x95,"Craig, Jones and Wilson",Red,15,305,0
P657371,SKU-91257,Skin Sports,Electronics,R$ 330.22,R$ 550.37,40%,Traditional theory popular around others receive at nothing dream head risk popular wear protect.,2.7,70x85x78,Sanchez-Powers,Yellow,13,375,1
P741602,SKU-69807,Item Books,Home & Kitchen,R$ 45.87,R$ 73.98,38%,Down clearly meeting wear effort space carry return practice.,1.6,53x80x71,"Gray, Mckinney and Anderson",Blue,20,119,0
P516082,SKU-69883,Pretty Home,Fashion,R$ 1258.38,R$ 1772.37,29%,Light special six today always magazine where around old lose whether support industry occur significant citizen allow stock herself no.,6.0,29x54x45,Garner Ltd,White,21,72,0
P418573,SKU-62604,Nothing Fashion,Home & Kitchen,R$ 713.84,R$ 1065.43,33%,Name civil five reason speak hour hold produce Congress wall father child person history.,2.9,90x90x83,"Ramos, Williams and Torres",Yellow,10,475,0
P498569,SKU-67925,Federal Electronics,Fashion,R$ 72.39,R$ 92.81,22%,Consumer heart hour class military do inside heavy art indeed those yourself success.,3.2,80x42x89,Taylor and Sons,Green,7,87,0
P973441,SKU-13408,Thousand Fashion,Fashion,R$ 1577.4,R$ 1923.66,18%,Bill specific seem system financial present represent answer rich.,0.7,77x62x10,Pollard Group,Red,6,180,0
P519097,SKU-25251,Party Books,Fashion,R$ 540.06,R$ 650.68,17%,Check job health may physical again why pressure successful score.,7.9,76x99x59,Paul-Huber,Yellow,13,76,1
P372349,SKU-13171,Interview Sports,Electronics,R$ 192.19,R$ 384.37,50%,Democratic economic you live easy ago trial good type quality PM southern positive choice century keep argue teacher.,4.5,65x15x84,"Wilson, Murray and Patrick",Green,22,313,1
P530267,SKU-5966,Likely Electronics,Electronics,R$ 1368.74,R$ 1800.98,24%,Describe church mouth work radio Congress we form Republican.,0.6,20x94x90,Baker-Hernandez,White,13,443,0
P306979,SKU-78464,Discussion Sports,Books,R$ 144.55,R$ 153.78,6%,Conference new quality far open coach water fly mind clearly level kitchen long thousand somebody theory particularly or.,2.9,67x70x39,Espinoza-Pruitt,Black,24,303,0
P707780,SKU-17322,Section Home,Electronics,R$ 781.04,R$ 887.54,12%,Six instead machine stuff Mr agreement our range PM so.,9.4,65x14x86,Krueger-Boyd,Yellow,10,202,1
P622151,SKU-40300,Any Fashion,Books,R$ 843.13,R$ 1154.97,27%,Point mean kind well week onto mention manager shoulder.,6.5,71x100x73,"Lewis, Gill and Sanchez",White,24,117,1
P147181,SKU-40623,Building Fashion,Fashion,R$ 1614.68,R$ 1899.62,15%,Cost culture yeah father situation stuff turn practice official soon travel performance bank quite station character speak.,4.7,48x15x77,Anthony Inc,White,20,338,1
P959716,SKU-85421,Although Sports,Electronics,R$ 703.32,R$ 1004.74,30%,Down land suddenly democratic government occur east week man direction add.,6.2,84x93x27,Rasmussen-Castro,Blue,12,12,0
P557104,SKU-88357,Technology Electronics,Home & Kitchen,R$ 527.66,R$ 586.29,10%,Physical bank practice say reason interest catch anyone other.,2.2,54x52x75,"Johnson, Hayes and Osborn",Black,16,237,1
P849684,SKU-35923,Usually Home,Home & Kitchen,R$ 601.25,R$ 858.93,30%,Charge sound cost book down seek result matter watch big three behavior recently support look religious city kind side determine Democrat.,5.1,52x81x71,Lawson-Schwartz,Green,13,224,1
P146014,SKU-93470,Check Home,Electronics,R$ 61.65,R$ 72.53,15%,Commercial century herself air happy administration also Congress attorney office doctor page.,9.9,68x39x51,Peterson Group,Gray,9,34,1
P359615,SKU-6223,Surface Electronics,Home & Kitchen,R$ 635.6,R$ 1008.89,37%,Camera mean computer per begin fine thus use reduce institution agency many someone those religious.,2.1,94x59x30,Frazier LLC,Gray,23,214,1
P603780,SKU-76207,Picture Home,Electronics,R$ 72.94,R$ 121.56,40%,Court plant college food their simply able maybe common big eye something such personal remember stock compare light.,8.3,43x20x63,Hamilton and Sons,Blue,10,138,0
P530283,SKU-89623,Possible Books,Books,R$ 518.53,R$ 648.16,20%,Discussion over ten claim Mrs wall blue instead little law front theory eat better wide bar.,8.7,17x84x99,"Harris, Savage and Waller",Gray,18,441,1
P713118,SKU-22913,Near Electronics,Fashion,R$ 60.01,R$ 85.73,30%,Work color turn run raise him take Mrs view poor.,5.0,79x35x89,Glover-Wright,Blue,16,223,1
P364813,SKU-51574,Situation Home,Books,R$ 135.33,R$ 250.61,46%,President exist must section organization policy fish act experience science subject result wish more again.,7.0,58x19x70,Kidd-Gardner,Black,9,404,1
P988598,SKU-89236,Past Fashion,Sports,R$ 532.67,R$ 634.13,16%,Air family issue amount sea exist this father receive image learn history rise morning paper main similar natural.,5.8,40x33x13,Lee Inc,Blue,20,145,0
P466278,SKU-78084,Keep Sports,Electronics,R$ 654.1,R$ 1090.17,40%,Study start center citizen wife note head whatever wish.,3.9,98x21x100,Schultz Inc,Gray,16,432,0
P414322,SKU-10045,Easy Sports,Sports,R$ 1175.6,R$ 1754.62,33%,Sea role adult could blood owner defense nothing learn list either bad week fact operation chance fire social bill another.,1.3,25x84x87,Edwards-Moreno,Red,10,308,0
P66417,SKU-61788,Be Books,Electronics,R$ 939.17,R$ 1322.77,29%,Nearly agreement rise stage set enter country Mrs choice reach apply public turn bed role fear recently forget.,9.4,86x56x28,Torres Group,Gray,18,48,1
P946275,SKU-91131,Color Sports,Books,R$ 479.26,R$ 887.52,46%,Say everybody hard listen future together standard region kitchen likely stage rate.,6.9,32x76x56,"David, Henry and Randolph",Green,16,337,1
P54533,SKU-53167,You Books,Fashion,R$ 1473.36,R$ 1733.37,15%,Management mention trip artist drug address nature foot key Mrs hard pattern from ground carry way church security high them.,6.6,100x43x46,"Reyes, Mckee and Perez",Red,12,362,1
P391712,SKU-51153,Tree Fashion,Sports,R$ 252.94,R$ 274.93,8%,Understand understand garden unit sometimes in memory president although keep building establish trial career his drive strong professor enough growth.,3.2,21x93x38,Lee Group,Red,7,337,0
P185944,SKU-74708,Like Electronics,Books,R$ 1300.57,R$ 1494.91,13%,Challenge onto case dog wife condition wife cut degree sell face above model.,7.0,32x17x97,Riley and Sons,Yellow,16,223,1
P255734,SKU-72623,Individual Electronics,Sports,R$ 229.89,R$ 276.98,17%,Rather federal picture involve goal herself cut tend benefit history song cover agent five reduce around bed.,6.1,38x93x26,Hanna Inc,Red,16,89,0
P797524,SKU-60253,Better Books,Home & Kitchen,R$ 476.79,R$ 744.98,36%,Help television agreement she check account pull fight range bar people.,9.6,58x77x17,Atkinson-Jimenez,Black,14,7,0
P231153,SKU-63116,Morning Sports,Books,R$ 752.15,R$ 1074.5,30%,Agency law behind catch late again describe company show drive reduce practice treatment them.,9.0,33x35x98,Robinson-Matthews,Yellow,22,246,1
P125585,SKU-43382,Member Home,Fashion,R$ 1647.33,R$ 1830.37,10%,Down piece bad degree water growth marriage lawyer class.,4.6,10x53x36,Hernandez PLC,Blue,16,126,1
P237964,SKU-45224,Improve Home,Sports,R$ 1069.53,R$ 1175.31,9%,Beyond modern through attention ahead almost it look visit.,9.8,60x79x27,Keith Ltd,Black,19,48,0
P569274,SKU-18614,Establish Electronics,Home & Kitchen,R$ 602.97,R$ 1159.55,48%,Present movement kid drug than his throughout capital soldier police class rich together.,1.2,24x77x33,"Santiago, Schmidt and Farmer",Red,19,24,1
P362939,SKU-99427,Evidence Home,Sports,R$ 705.15,R$ 774.89,9%,Technology project bill from imagine trouble those group improve report response card rise agent control break.,0.7,98x44x35,Robertson and Sons,Black,18,426,1
P316282,SKU-7215,Court Fashion,Fashion,R$ 597.03,R$ 1170.64,49%,End language various player would most beyond street national able drive fire risk.,0.6,63x31x28,Diaz-Edwards,Green,11,247,0
P812901,SKU-30735,Key Electronics,Fashion,R$ 1067.51,R$ 1123.69,5%,Future party town word help serve consumer increase able charge.,1.1,47x96x89,Park-Goodman,White,11,128,1
P337940,SKU-28258,Serve Fashion,Books,R$ 907.28,R$ 1209.71,25%,Sound into any sure huge good while organization maybe water yes listen.,3.5,62x11x10,"Andrade, Smith and Hood",Yellow,24,385,0
P774117,SKU-15911,How Sports,Books,R$ 246.73,R$ 342.68,28%,Marriage husband table remember above response letter summer task various notice cold game mother entire try improve from.,5.5,75x30x10,Beltran PLC,Black,10,362,0
P283711,SKU-66347,Several Home,Fashion,R$ 426.97,R$ 853.94,50%,Trade happen week civil reveal special among attention anything.,9.7,71x98x45,Kelly-Golden,Blue,15,256,0
P132277,SKU-12269,Health Home,Fashion,R$ 246.28,R$ 432.07,43%,Single growth choice practice modern scene over action throughout for should in.,6.3,93x84x51,Lee-Johnston,Red,18,97,0
P580476,SKU-96558,Later Electronics,Sports,R$ 1012.62,R$ 1205.5,16%,Into air foot court next land drive international best including.,7.8,97x78x38,Phillips and Sons,Gray,20,472,0
P299050,SKU-43567,While Electronics,Electronics,R$ 936.71,R$ 1535.59,39%,Believe tough exactly do radio how effect run there yeah behavior health body.,6.4,23x64x67,"Miller, Morris and Thompson",Yellow,18,478,0
P119434,SKU-28546,Open Books,Home & Kitchen,R$ 745.03,R$ 1079.76,31%,Write which section here everybody card people score administration.,7.5,49x64x17,Walter LLC,Black,16,155,0
P194469,SKU-79163,Too Sports,Sports,R$ 1567.02,R$ 1887.98,17%,Stop show house degree cold lot hit parent movement bar add mouth white condition drop cultural article summer.,3.8,56x99x23,"Williams, Hernandez and Kramer",Black,17,282,0
P318777,SKU-72211,Why Books,Fashion,R$ 254.83,R$ 463.33,45%,Politics personal generation politics wear race many senior force money maybe organization truth society account.,6.3,53x94x46,Johnson-Moreno,Red,13,162,0
P640140,SKU-16090,Decide Sports,Home & Kitchen,R$ 45.81,R$ 89.83,49%,Possible family though employee today group many great travel oil figure husband heart nearly.,1.6,16x49x36,Smith Group,Blue,16,154,1
P974706,SKU-95203,Detail Home,Electronics,R$ 905.38,R$ 1223.48,26%,Level recognize discover certainly rest throughout pass apply goal view.,4.7,65x34x55,Reyes Inc,Green,18,408,0
P459355,SKU-50354,Order Home,Books,R$ 677.79,R$ 954.64,29%,Congress expert be else appear total movie growth despite yourself must without according administration little course save food great policy.,3.0,51x68x89,West Ltd,Blue,12,325,1
P560181,SKU-74093,Position Home,Fashion,R$ 920.11,R$ 1314.44,30%,Final answer certain course dog keep economic believe grow firm conference herself risk from meeting store determine reduce water.,5.4,93x49x15,Anderson-Johnson,Red,19,263,1
P204821,SKU-38792,Middle Sports,Books,R$ 235.29,R$ 301.66,22%,Drug management act occur reason science daughter speech old change job throughout industry kitchen top glass tonight lot.,3.4,18x46x41,Flores Ltd,Gray,20,60,0
P431327,SKU-76317,Lead Electronics,Sports,R$ 870.11,R$ 1208.48,28%,Return alone run ok thousand write decision return condition space hot language upon rather since nature if move.,2.2,38x96x38,Mendez-Ellis,White,8,108,0
P171808,SKU-82133,People Fashion,Electronics,R$ 395.16,R$ 647.81,39%,Thus whose record catch rest air carry around sort forward do tax protect current much kitchen may girl.,5.9,95x20x32,"Lewis, Martin and Thomas",Blue,9,451,0
P385395,SKU-92222,Not Sports,Books,R$ 1072.88,R$ 1818.44,41%,Impact they popular movement job discuss far mind compare measure past network sort activity cup project.,5.1,98x33x37,Villarreal Inc,Yellow,7,414,1
P549961,SKU-77240,Radio Home,Books,R$ 596.33,R$ 1084.24,45%,Note official lot meet guess bill main themselves guy important throughout pick hour quality hour mouth machine only step travel.,9.2,65x28x77,Bell Group,Black,22,377,1
P603994,SKU-95704,Tough Fashion,Fashion,R$ 1427.24,R$ 1679.11,15%,Identify later probably management seem traditional teach same address company difference customer business quality.,3.8,88x94x39,"Alvarez, Hardin and Barry",Green,11,2,0
P23489,SKU-8463,Kind Electronics,Home & Kitchen,R$ 43.86,R$ 56.23,22%,Use challenge writer certainly leave know decision stage sit company too term raise nice moment into involve.,9.7,14x18x11,Thompson LLC,Red,9,265,0
P998545,SKU-30650,Source Sports,Electronics,R$ 38.38,R$ 57.28,33%,Travel walk size interesting home sense value perform yard stuff key speech score father financial eye several.,9.6,50x70x46,Duke-White,Yellow,13,434,0
P491472,SKU-60612,Wonder Books,Sports,R$ 111.21,R$ 218.05,49%,Cold staff sign culture employee grow read around above.,1.2,58x74x23,Miranda-Norton,Black,12,227,1
P777105,SKU-95047,Especially Home,Home & Kitchen,R$ 70.96,R$ 110.88,36%,Too field ground language leader end I I Mrs check civil address can speak administration machine focus while.,9.7,94x70x58,Clark-Taylor,Black,12,97,0
P152923,SKU-45950,Writer Sports,Books,R$ 1079.74,R$ 1741.52,38%,Meeting south star lot spring million take however sit respond move girl professional positive method.,7.4,76x39x83,Santiago LLC,Red,22,480,1
P418560,SKU-64029,Get Sports,Home & Kitchen,R$ 787.6,R$ 856.09,8%,Hope city bank tonight almost card bring after experience add investment study left season cost mother worker explain.,5.0,20x34x46,Greene PLC,Yellow,22,369,1
P722922,SKU-9558,Whether Electronics,Books,R$ 965.76,R$ 1893.65,49%,Might board structure drug physical event general him official school truth three.,4.4,79x96x86,Thompson and Sons,Blue,7,454,1
P749701,SKU-90550,Unit Home,Home & Kitchen,R$ 635.47,R$ 714.01,11%,Whose social reduce thing discuss fill television operation organization Congress can pretty down specific material.,2.2,55x71x65,"Hall, Foster and Reyes",Gray,9,47,1
